adult,militaryContract,coal,socialPercentile,furLeather,environmentPercentile,socialScore,esgPerformance,environmentScore,totalEsg,governanceScore,gmo,catholic,controversialWeapons,nuclear,animalTesting,peerCount,highestControversy,peerGroup,percentile,gambling,alcoholic,governancePercentile,pesticides,palmOil,tobacco,smallArms,Stock Ticker,Sector,Name
False,False,False,0,False,0,5.64,LAG_PERF,3.25,13.78,4.9,False,False,False,False,False,106,1,Real Estate,7.46,False,False,0,False,False,False,False,HST,Real Estate,Host Hotels & Resorts
False,False,False,0,False,0,9.99,,1.87,25.43,13.58,False,False,False,False,False,96,2,Insurance,44.71,False,False,0,False,False,False,False,AIG,Financials,American International Group
False,False,False,0,False,0,13.39,,2.72,23.52,7.42,False,False,False,False,False,68,3,Telecommunication Services,37.19,False,False,0,False,False,False,False,TMUS,Communication Services,T-Mobile US
False,False,False,0,False,0,10.06,LAG_PERF,2.55,19.42,6.81,False,False,False,False,False,106,3,Software & Services,22.65,False,False,0,False,False,False,False,TWTR,Communication Services,Twitter
False,False,False,0,False,0,14.04,,0.03,22.08,8.01,False,False,False,False,True,83,2,Pharmaceuticals,31.68,False,False,0,False,False,False,False,GILD,Health Care,Gilead Sciences
False,False,False,0,False,0,9.49,LAG_PERF,4.71,19.83,5.63,False,False,False,False,False,46,1,Transportation,23.85,False,False,0,False,False,False,False,CHRW,Industrials,C. H. Robinson
False,False,False,0,False,0,11.59,,1.67,24.03,10.76,False,False,False,False,False,96,2,Insurance,39.19,False,False,0,False,False,False,False,CB,Financials,Chubb
False,False,False,0,False,0,13.5,,0.11,20.01,6.41,False,False,False,False,False,32,1,Commercial Services,24.39,False,False,0,False,False,False,False,VRSK,Industrials,Verisk Analytics
False,False,False,0,False,0,16.92,,1.12,28.01,9.98,False,True,False,False,True,83,3,Pharmaceuticals,54.41,False,False,0,False,False,False,False,ABBV,Health Care,AbbVie
False,False,False,0,False,0,10.52,LAG_PERF,0.07,18.27,7.68,False,False,False,False,False,38,2,Media,18.95,False,False,0,False,False,False,False,OMC,Communication Services,Omnicom Group
False,False,False,0,False,0,7.17,LAG_PERF,0.05,11.34,4.12,False,False,False,False,False,57,2,Retailing,3.53,False,False,0,False,False,False,False,AZO,Consumer Discretionary,AutoZone
False,False,False,0,False,0,11.12,,1.66,24.32,11.54,False,False,False,False,False,106,4,Software & Services,40.44,False,False,0,False,False,False,False,GOOGL,Communication Services,Alphabet (Class A)
False,True,False,0,False,0,11.46,,5.29,22.65,5.9,False,False,True,False,False,24,3,Construction & Engineering,33.84,False,False,0,False,False,False,False,J,Industrials,Jacobs Engineering Group
False,False,False,0,False,0,9.45,LAG_PERF,0.78,15.45,5.22,False,False,False,False,False,106,0,Software & Services,10.88,False,False,0,False,False,False,False,JKHY,Information Technology,Jack Henry & Associates
